first_buy_bucket,holding_window,tokens,win_rate,total_pnl_bnb,avg_pnl_bnb,median_pnl_bnb,avg_roi,max_pnl_bnb,max_loss_bnb
0-50k,0-5m,1743,0.32759609868043604,-55.73980450648842,-0.031979233796034665,-0.0390350651374258,-0.07141863655670781,1.7031424484621336,-1.2000396102
0-50k,5-30m,333,0.5705705705705706,34.69695464642576,0.10419505899827555,0.0373142410715136,0.24707809459566643,3.1172294546429073,-1.4000672805199998
0-50k,30m-1h,69,0.7101449275362319,9.279191633906754,0.13448103817256166,0.0956775409830063,0.3666117842639195,1.8633969473595624,-4.1001379508
0-50k,1h-6h,176,0.5795454545454546,31.284219290267885,0.17775124596743117,0.05290835363950745,0.28559293734132624,4.3910923394364065,-1.60008623824
0-50k,6h-24h,132,0.5757575757575758,28.345804148566494,0.21474094051944315,0.0772095977939323,0.25447222989573354,2.893855612961933,-0.8001274755200001
0-50k,1d-3d,126,0.5158730158730159,22.31093280955369,0.17707089531391818,0.00679536249895305,0.21146134278664175,3.334194938530835,-1.211947111306128
0-50k,3d-7d,92,0.3695652173913043,15.269674873090604,0.16597472688141962,-0.0320864780624598,0.31584223002799977,6.136026256580706,-1.4021363423200002
0-50k,7d+,171,0.4152046783625731,13.267249946105306,0.07758625699476787,-0.0622608290492411,0.009123329427586183,15.101998870350126,-5.493624178735898
50k-100k,0-5m,17,0.17647058823529413,-2.9997711356526198,-0.1764571256266247,-0.10002451276,-0.37976517519118574,0.7165948505830224,-1.000175859
50k-100k,5-30m,6,0.0,-2.091136382030992,-0.3485227303384986,-0.20230036784511696,-0.4817061058689284,-0.1701491176366036,-1.0401395522
50k-100k,30m-1h,2,0.0,-0.27089588576385637,-0.13544794288192818,-0.13544794288192818,-0.2839715513734765,-0.1311559339952258,-0.1397399517686306
50k-100k,1h-6h,4,0.0,-2.433218040887475,-0.6083045102218687,-0.22931695823510595,-0.6697221402242776,-0.0420354835232403,-1.9325486408940225
50k-100k,6h-24h,4,0.25,-0.0735597334144569,-0.018389933353614225,-0.0246430284919734,0.03205774922655053,0.125812507721968,-0.1500861841524781
50k-100k,1d-3d,3,0.6666666666666666,1.3856644861810994,0.4618881620603665,0.666378733570929,-0.14135666718264375,0.8114149162726817,-0.0921291636625113
50k-100k,3d-7d,13,0.23076923076923078,-0.8755659995968963,-0.06735123073822279,-0.2681251448568711,0.1143041188182426,4.0273051411912375,-1.656844112617076
50k-100k,7d+,14,0.21428571428571427,0.3697802939839147,0.026412878141708195,-0.40971519057796313,-0.029427060886874988,5.9803690568636485,-2.19668870993574
100k-200k,0-5m,9,0.0,-4.4687723435041065,-0.49653026038934517,-0.2669660879238386,-0.6345116073977966,-0.0004265661671314,-1.2000210858
100k-200k,5-30m,6,0.6666666666666666,1.3289614236869456,0.22149357061449093,0.13170074011133653,0.5635577043451803,1.653633558289139,-0.5590834930200016
100k-200k,30m-1h,2,0.5,-0.00016500376619521528,-8.250188309760764e-05,-8.250188309760764e-05,0.1642318700235182,0.2629359958038244,-0.2631009995700196
